SRR5755588	SRR5755589	SRR5755590	SRR5755591	SRR5755592	SRR5755593
1500011H22Rik	1282	1539	1028	1686	1743	1788
1500011K16Rik	820	790	600	886	964	858
1500012F01Rik	2365	2654	1835	1823	1846	1912
1500012K07Rik	0	0	0	0	0	1
1500015O10Rik	183	202	123	92	66	84
1500016L03Rik	13	4	4	1	14	1
1500017E21Rik	140	114	103	187	175	165
1500026H17Rik	50	53	45	5	13	9
1500031L02Rik	1796	1982	1223	1295	1262	1267
1500032L24Rik	6028	6893	4191	5635	5651	5664
1500035N22Rik	1	0	0	0	0	1
1520401A03Rik	1	3	13	13	3	2
1520402A15Rik	1731	1578	1079	784	801	902
1600002D24Rik	0	3	0	0	2	1
1600002H07Rik	640	656	353	1116	1200	1249
1600002K03Rik	106	104	76	111	94	133
1600010F14Rik	0	1	0	0	0	0
1600012F09Rik	1488	1507	999	1916	1897	1939
1600012H06Rik	2751	2584	1798	2297	2325	2463
1600012P17Rik	1	2	0	2	2	0
1600014C10Rik	269	250	127	91	115	94
1600014K23Rik	0	0	0	0	0	0
1600015I10Rik	1	0	0	0	0	0
1600016N20Rik	13	14	12	3	11	13
1600020E01Rik	529	518	320	315	336	428
1600021P15Rik	2363	2426	1570	1737	1655	1704
1600025M17Rik	0	0	0	0	0	0
1600027N09Rik	1372	1397	892	1640	1655	1712
1600029D21Rik	1	1	0	0	0	0
1600029I14Rik	0	0	0	0	0	0
1600029O15Rik	0	0	0	0	0	0
1700001C02Rik	0	0	0	0	0	0
1700001C19Rik	4	3	3	1	0	1
1700001F09Rik	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0
1700001G11Rik	31	32	29	21	24	20
1700001G17Rik	38	41	30	34	31	29
1700001J04Rik	0	0	0	0	0	0
1700001J11Rik	8	1	0	1	3	1
1700001K19Rik	12	7	3	7	5	9
1700001L05Rik	8	6	2	12	22	20
1700001L19Rik	1	1	5	1	1	0
1700001O22Rik	14	23	13	14	10	15
1700001P01Rik	11	6	2	7	2	9
1700003D09Rik	0	1	0	2	0	0
1700003E16Rik	178	168	87	101	120	123
1700003E24Rik	0	0	0	0	0	0
1700003F12Rik	42	33	22	4	20	9
1700003F17Rik	0	0	0	0	0	0
1700003G13Rik	0	0	0	0	0	0
1700003G18Rik	0	12	2	0	2	3
1700003H04Rik	0	0	0	0	0	0
1700003M02Rik	17	23	4	1	4	2
1700003M07Rik	40	57	32	21	10	27
1700006A11Rik	0	0	0	0	0	0
1700006D18Rik	1	0	1	0	0	0
1700006E09Rik	0	1	1	0	0	0
1700006J14Rik	1	1	2	1	3	8
1700006P19Rik	7	10	7	9	11	20
1700007B14Rik	0	0	0	2	0	0
1700007G11Rik	1	0	2	0	0	0
1700007I08Rik	0	0	0	3	1	4
1700007J10Rik	19	20	11	11	9	23
1700007K09Rik	1	1	1	1	0	1
1700007K13Rik	138	145	101	12	20	32
1700007L15Rik	65	72	38	62	50	67
1700007M16Rik	0	0	0	0	0	0
1700007P06Rik	0	0	0	1	0	0
1700008A04Rik	0	0	0	0	0	0
1700008F21Rik	1	1	4	1	2	1
1700008I05Rik	2	1	1	1	1	0
1700008O03Rik	42	39	29	9	13	11
1700008P02Rik	0	0	0	0	0	0
1700008P20Rik	0	0	0	0	0	0
1700009N14Rik	0	0	1	0	0	0
1700009P17Rik	144	148	75	33	27	32
1700010B08Rik	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	1	1
1700010I14Rik	29	42	15	15	17	18
1700010K10Rik	1	1	0	0	1	0
1700010K24Rik	1	1	0	2	0	1
1700010L04Rik	0	2	0	0	0	0
1700010M22Rik	0	0	0	0	0	0
1700011A15Rik	0	0	0	1	0	0
1700011E24Rik	6	6	2	7	5	5
1700011F03Rik	0	0	0	0	0	0
1700011F14Rik	0	0	0	0	0	0
1700011H14Rik	5	8	7	1	2	1
1700011I03Rik	2	1	0	0	0	0
1700011J10Rik	591	655	407	240	341	318
1700011L22Rik	2	0	1	0	1	0
1700011M02Rik	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0
1700012A16Rik	19	17	5	17	17	17
1700012B07Rik	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	4
1700012B15Rik	382	375	257	375	383	380
1700012C08Rik	0	0	0	0	0	0
1700012C14Rik	0	4	0	1	3	4
1700012L04Rik	2	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0
1700013D24Rik	0	1	0	0	0	0
1700013F07Rik	3	1	0	0	0	0
1700013G23Rik	83	79	40	49	52	38
1700013G24Rik	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0
1700013N06Rik	0	0	0	0	0	0
1700013N18Rik	13	1	2	2	0	1
1700014D04Rik	0	2	0	1	0	1
1700014N06Rik	1	0	1	0	0	0
1700015E13Rik	0	2	1	1	2	3
1700015F17Rik	0	4	0	1	2	1
1700015O11Rik	0	0	0	0	0	0
1700016C15Rik	0	0	2	1	0	1
1700016D06Rik	0	0	1	0	0	0
1700016G14Rik	0	0	1	0	1	4
1700016H13Rik	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0
1700016M24Rik	0	0	0	0	0	0
1700016P03Rik	1	3	0	5	1	2
1700017B05Rik	1234	1299	887	3269	2931	3076
1700017D01Rik	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	0	0
1700018A14Rik	0	0	1	1	1	0
1700018B08Rik	0	2	1	0	0	0
1700018B24Rik	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0
1700018L24Rik	0	3	2	0	0	0
1700018M17Rik	4	1	0	1	0	0
1700019A02Rik	2	5	1	2	4	3
1700019B03Rik	2	5	11	1	2	1
1700019B21Rik	0	0	0	0	0	0
1700019D03Rik	59	58	35	42	50	32
1700019E08Rik	0	0	0	0	0	0
1700019E19Rik	1179	1333	842	1262	1287	1297
1700019G06Rik	0	0	0	0	0	0
1700019G17Rik	1646	1824	1139	192	280	260
1700019G24Rik	0	0	0	0	0	0
1700019L03Rik	48	64	28	43	30	47
1700019M22Rik	0	0	0	0	0	0
1700019N12Rik	25	25	15	21	19	20
1700019N19Rik	0	1	0	0	1	0
1700019O17Rik	0	0	0	0	1	0
1700020A23Rik	3	7	1	0	7	11
1700020C07Rik	2	1	0	0	0	0
1700020I14Rik	13093	12069	8421	10301	10056	11210
1700020L24Rik	62	92	46	32	16	26
1700020N01Rik	0	0	0	0	0	1
1700020N15Rik	0	0	0	0	0	0
1700020O03Rik	2052	1948	1268	1597	1516	1661
1700021A07Rik	0	0	0	0	0	0
1700021C14Rik	66	99	58	61	58	62
1700021F05Rik	1211	1145	769	1569	1659	1697
1700021F07Rik	0	0	0	0	0	0
1700021J08Rik	3	4	3	3	2	5
1700021K19Rik	7839	7056	4803	5686	5504	5619
1700021L23Rik	0	1	0	0	0	0
1700021N21Rik	0	0	0	0	0	1
1700021O21Rik	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0
1700022I11Rik	7	3	1	4	4	1
1700022K14Rik	43	39	33	20	23	27
1700022N22Rik	36	31	13	20	10	27
1700022P22Rik	10	4	5	8	2	9
1700023A16Rik	0	0	0	0	0	0
1700023C21Rik	0	0	0	0	0	0
1700023E05Rik	1	1	0	1	0	3
1700023F06Rik	9	1	0	0	5	7
1700023H06Rik	2	1	2	1	0	6
1700023I07Rik	0	0	0	0	0	0
1700023L04Rik	26	15	9	9	2	4
1700024B05Rik	0	0	0	0	0	0
1700024G13Rik	0	0	0	0	0	0
1700024J04Rik	0	0	0	0	0	0
1700024N20Rik	6	5	7	7	2	0
1700024P03Rik	2	1	2	1	3	1
1700024P04Rik	0	0	0	0	0	0
1700024P16Rik	0	5	0	1	1	2
1700025C18Rik	0	0	0	0	0	0
1700025D23Rik	1	0	0	1	1	0
1700025E21Rik	6	11	9	5	8	2
1700025F22Rik	0	0	0	0	0	0
1700025G04Rik	11868	11278	7890	6748	6859	7134
1700025K23Rik	563	568	376	240	227	230
1700025N21Rik	2	0	1	1	1	0
1700025O08Rik	0	0	0	0	0	0
1700026D08Rik	1	7	8	1	0	2
1700026D11Rik	0	0	0	0	0	0
1700026J04Rik	11	6	2	32	18	24
1700026J12Rik	0	0	0	0	0	0
1700026J14Rik	5	6	4	3	1	1
1700026L06Rik	0	1	1	0	1	1
1700027A07Rik	1	1	1	1	1	0
1700027A23Rik	0	0	0	0	0	0
1700027D21Rik	6	3	1	3	14	3
1700027L20Rik	0	1	1	0	0	0
1700028E10Rik	15	22	13	8	19	6
1700028I16Rik	0	0	1	1	1	0
1700028J19Rik	57	46	27	30	30	38
1700028K03Rik	31	18	14	5	9	15
1700028N14Rik	0	1	0	0	0	6
1700028P14Rik	2	4	5	1	1	0
1700028P15Rik	0	0	0	0	0	0
1700029F09Rik	610	694	446	1823	1735	1832
1700029F12Rik	0	0	0	1	0	0
1700029G01Rik	11	5	4	7	12	9
1700029H14Rik	1	1	1	0	0	2
1700029I01Rik	24	17	10	16	17	10
1700029I15Rik	26	35	17	19	14	34
1700029J07Rik	112	126	63	82	66	105
1700029J11Rik	1	5	2	1	1	3
1700029M20Rik	0	0	0	0	0	0
1700029P11Rik	0	0	0	0	1	0
1700030A11Rik	0	0	0	0	0	0
1700030C10Rik	3	1	0	4	0	1
1700030C12Rik	1	5	1	0	1	3
1700030C14Rik	0	0	0	0	0	0
1700030F18Rik	4	2	0	1	1	1
1700030G06Rik	263	219	204	189	180	204
1700030J22Rik	144	136	81	125	117	97
1700030K09Rik	1033	1055	666	797	801	857
1700031A10Rik	0	1	0	0	0	0
1700031F05Rik	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0
1700034F02Rik	27	27	23	15	8	7
1700034H14Rik	2043	2154	1505	1949	2004	1840
1700034H15Rik	15	28	8	15	14	17
1700034I23Rik	0	2	1	0	3	0
1700034J04Rik	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0
1700034O15Rik	0	1	0	0	0	0
1700034P13Rik	8	16	11	1	7	6
1700036A12Rik	0	0	0	2	4	6
1700036O09Rik	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0
1700037C18Rik	158	174	118	109	113	125
1700037F24Rik	2	0	0	1	0	0
1700037H04Rik	2891	3195	2035	5009	4808	4982
1700039E15Rik	0	0	0	0	0	0
1700039E22Rik	0	0	0	0	0	0
1700039M10Rik	0	1	1	0	0	0
1700040D17Rik	198	154	86	178	192	206
1700040I03Rik	642	728	454	1364	1424	1540
1700040L02Rik	0	0	0	0	0	0
1700040N02Rik	14	10	8	8	6	6
1700041G16Rik	36	32	25	7	7	2
1700041M05Rik	0	0	0	0	0	0
1700042B14Rik	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0
1700042O10Rik	0	0	0	0	0	1
1700045H11Rik	0	0	0	0	0	0
1700045I11Rik	0	0	0	0	0	0
1700045I19Rik	0	0	0	0	0	0
1700046C09Rik	0	0	0	0	0	0
1700047A11Rik	1	1	1	0	0	0
1700047F07Rik	0	0	0	0	0	0
1700047G07Rik	0	0	0	0	0	0
1700047I17Rik2	3	3	0	1	2	0
1700047K16Rik	10	8	12	11	2	8
1700048O20Rik	339	352	198	401	380	392
1700049E15Rik	0	0	0	0	0	0
1700049E17Rik1	0	0	0	0	0	0
1700049E17Rik2	0	0	0	0	0	0
1700049G17Rik	806	692	512	418	388	428
1700049J03Rik	0	0	0	1	0	0
1700049L16Rik	0	0	0	0	0	0
1700051A21Rik	0	0	0	1	0	0
1700052N19Rik	1788	1977	1286	2107	2042	2259
1700054M17Rik	0	0	0	0	0	0
1700054N08Rik	667	591	431	607	580	639
1700054O13Rik	0	0	0	0	0	0
1700054O19Rik	2	0	4	0	1	2
1700055D18Rik	61	41	25	26	19	8
1700055N04Rik	1	0	0	1	0	0
1700056E22Rik	44	65	55	55	61	54
1700056N10Rik	27	12	5	23	24	24
1700057G04Rik	8	10	5	2	1	4
1700057H15Rik	3	0	0	2	0	2
1700057H21Rik	0	0	0	0	0	0
1700057K13Rik	7	5	5	7	9	5
1700058G18Rik	1	3	1	1	2	3
1700058P15Rik	8	3	3	5	8	13
1700060C16Rik	0	0	0	0	0	0
1700060C20Rik	2	1	0	0	0	1
1700060J05Rik	18	12	7	8	5	9
1700061E18Rik	1	0	0	0	0	0
1700061F12Rik	0	0	0	0	0	0
1700061G19Rik	10	29	20	8	12	15
1700061H18Rik	0	0	0	0	0	0
1700061I17Rik	0	0	0	0	0	0
1700061J05Rik	5	5	8	12	2	2
1700061J23Rik	0	0	0	0	0	0
1700062I23Rik	0	0	0	0	0	0
1700063H04Rik	0	0	0	0	0	0
1700064E03Rik	12	23	3	13	6	17
1700064H15Rik	6	0	2	2	1	1
1700065D16Rik	2	0	3	6	4	1
1700065I17Rik	0	0	0	1	0	2
1700066B19Rik	1	2	4	0	0	1
1700066J03Rik	1	1	3	1	0	0
1700066J24Rik	2	0	0	0	0	0
1700066M21Rik	5775	5742	3670	3933	3981	4173
1700066O22Rik	0	0	0	0	0	0
1700067G03Rik	0	0	0	0	0	0
1700067K01Rik	45	60	46	21	27	18
1700067P10Rik	0	0	0	0	0	0
1700069B07Rik	6	0	4	19	23	21
1700069L16Rik	0	0	0	0	0	0
1700071G01Rik	0	0	0	0	0	0
1700071K01Rik	0	3	0	1	1	0
1700071M16Rik	15	10	13	2	5	3
1700072E05Rik	1	0	0	0	0	0
1700073E17Rik	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0
1700080G11Rik	0	0	0	0	0	0
1700080N15Rik	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0
1700081H22Rik	0	0	0	0	0	0
1700081L11Rik	7413	7128	4932	5226	5183	5535
1700082M22Rik	9	4	14	4	0	1
1700084C01Rik	310	272	141	93	66	97
1700084C06Rik	17	21	12	2	1	14
1700084E18Rik	16	14	7	4	15	13
1700084J12Rik	1	0	0	0	1	0
1700084M14Rik	0	0	0	0	0	0
1700085B03Rik	0	0	0	0	0	0
1700086D15Rik	1	0	0	1	1	0
1700086L19Rik	241	210	165	96	109	106
1700086O06Rik	271	285	177	211	213	220
1700086P04Rik	64	57	60	6	4	20
1700087M22Rik	0	0	0	0	0	0
1700088E04Rik	267	268	176	98	99	113
1700090G07Rik	0	0	0	1	0	0
1700091E21Rik	0	0	0	0	1	0
1700091H14Rik	0	0	0	0	0	0
1700092C02Rik	0	0	0	0	0	0
1700092C10Rik	0	0	0	0	0	0
1700092C17Rik	0	0	0	0	0	0
1700092E19Rik	0	1	0	0	0	0
1700092K14Rik	0	0	0	0	2	0
1700092M07Rik	14	20	7	8	20	26
1700093J21Rik	0	2	3	0	0	0
1700093K21Rik	0	7	5	4	2	5
1700094C10Rik	0	0	0	0	0	0
1700094D03Rik	275	271	186	166	162	202
1700095A21Rik	0	0	0	0	0	0
1700095B22Rik	35	51	20	85	84	113
1700095J03Rik	55	46	38	34	32	50
1700095J07Rik	0	0	1	0	0	0
1700095J12Rik	0	0	0	0	0	0
1700099I09Rik	0	2	0	0	0	1
1700101E01Rik	22	15	3	9	25	8
1700101G07Rik	0	0	0	0	0	0
1700101I11Rik	25	22	12	2	8	12
1700101I19Rik	0	0	0	0	0	0
1700102P08Rik	24	22	18	54	24	41
1700104A03Rik	0	0	0	0	0	0
1700104B16Rik	2	1	0	0	0	0
1700106J16Rik	0	3	0	0	0	0
1700106N22Rik	339	383	251	342	353	328
1700108M19Rik	0	0	0	0	0	1
1700108N11Rik	0	0	0	0	0	0
1700109F18Rik	0	0	0	0	0	0
1700109G15Rik	0	0	0	0	0	0
1700109H08Rik	12	11	13	13	17	43
1700109K24Rik	15	10	10	9	7	33
1700110I01Rik	0	0	0	0	0	0
1700110K17Rik	0	0	0	0	0	0
1700110M21Rik	0	0	0	0	0	1
1700111E14Rik	0	2	0	0	0	1
1700112D23Rik	15	23	8	22	10	26
1700112E06Rik	4	9	4	3	2	1
1700112J05Rik	2	0	1	0	0	1
1700112J16Rik	13	7	10	0	10	2
1700112K13Rik	0	0	0	0	0	0
1700112M01Rik	0	0	0	0	0	1
1700113A16Rik	89	87	57	76	76	79
1700113H08Rik	1	0	0	0	0	1
1700119I11Rik	0	0	1	0	0	0
1700120B22Rik	3	2	3	2	1	7
1700120E14Rik	0	0	0	0	0	0
1700120G11Rik	0	0	0	0	0	0
1700121C08Rik	1	1	0	0	1	0
1700121F15Rik	3	12	15	13	11	17
1700121N20Rik	0	0	0	0	0	0
1700122E12Rik	7	3	6	4	6	2
1700123I01Rik	0	0	0	0	0	0
1700123K08Rik	0	0	1	0	0	1
1700123L14Rik	0	0	0	0	0	0
1700123M08Rik	57	46	31	37	55	49
1700123O12Rik	0	0	0	0	0	0
1700123O20Rik	2484	2491	1696	1973	2147	2160
1700125D06Rik	1	3	0	0	1	0
1700125G02Rik	0	0	1	0	0	0
1700125G22Rik	4	0	0	0	1	4
1700125H03Rik	16	5	10	12	9	17
1700125H20Rik	7	7	9	1	4	1
1700128E19Rik	0	0	0	0	0	0
1700128F08Rik	0	0	0	0	0	0
1700129C05Rik	0	0	0	0	0	0
1810006K21Rik	3511	3884	2441	3028	3068	3378
1810007I06Rik	0	0	0	0	0	0
1810008A18Rik	1681	1708	1088	1930	1934	1950
1810008B01Rik	0	0	0	0	0	0
1810009A15Rik	1945	2055	1283	2833	3095	3017
1810009J06Rik	0	0	0	0	0	0
1810009N23Rik	0	0	0	0	0	0
1810010H24Rik	391	377	258	281	341	350
1810010K12Rik	1	0	0	0	0	0
1810011H11Rik	0	0	0	0	0	0
1810011O10Rik	683	587	457	434	438	365
1810012K08Rik	21	17	16	18	24	25
1810012P15Rik	526	469	333	726	697	715
1810013D10Rik	764	844	509	813	910	992
1810013D15Rik	1	1	0	0	6	0
1810013L24Rik	4651	4246	3156	3482	3720	3843
1810014B01Rik	217	264	148	144	123	171
1810014F10Rik	193	214	125	185	182	201
1810019D21Rik	1	0	0	0	0	0
1810019J16Rik	0	0	0	0	1	0
1810019N24Rik	22	10	12	12	6	4
1810020D17Rik	3393	3866	2401	1415	1521	1624
1810020O05Rik	2	1	2	0	0	1
1810021B22Rik	107	131	76	33	41	33
1810022K09Rik	699	811	523	829	844	748
1810024B03Rik	128	139	118	90	97	72
1810026J23Rik	5151	5248	3492	4536	4305	4479
1810027O10Rik	4572	4803	3098	3779	3968	3924
1810029B16Rik	688	653	480	1063	1114	1151
1810030J14Rik	0	1	0	0	0	0
1810030N24Rik	2176	2146	1448	1151	1179	1083
1810030O07Rik	2786	2741	1818	2155	2385	2239
1810031K17Rik	3612	3808	2423	1458	1455	1575
1810032O08Rik	204	246	137	371	424	456
1810033B17Rik	1	0	1	0	1	0
1810034E14Rik	1	1	1	1	1	1
1810035I16Rik	0	0	0	0	0	0
1810035L17Rik	1319	1424	905	1403	1336	1421
1810037I17Rik	4035	4491	2930	3444	3760	3643
1810041L15Rik	4457	4081	2819	853	864	861
1810043G02Rik	967	1002	611	847	894	911
1810043H04Rik	629	696	406	669	709	678
1810046J19Rik	1225	1315	810	954	1024	1034
1810046K07Rik	0	0	0	0	0	0
1810048J11Rik	2284	2360	1612	2221	2197	2344
1810049H13Rik	374	336	225	181	191	142
1810055G02Rik	1568	1600	1121	2820	2778	2941
1810058I24Rik	5828	6014	3929	3296	3618	3676
1810058N05Rik	7	9	6	15	3	2
1810059C17Rik	5	7	2	1	5	1
1810059H22Rik	115	108	92	26	38	41
1810062G17Rik	8	5	11	0	0	4
1810062O18Rik	68	61	39	20	28	26
1810063B05Rik	656	684	404	718	783	825
1810063B07Rik	357	391	209	239	288	311
1810063I02Rik	0	0	0	0	0	0
1810064F22Rik	0	0	0	0	0	0
1810065E05Rik	0	0	0	0	0	0
1810074P20Rik	2930	2735	1929	2706	2787	2924
2010001A14Rik	380	399	243	141	143	182
2010001E11Rik	0	1	0	0	0	0
2010001K21Rik	1	0	2	6	0	0
2010001M06Rik	19	22	11	27	21	30
2010001M09Rik	106	115	77	26	43	74
2010002M12Rik	0	1	1	1	0	0
2010002N04Rik	76	60	44	57	74	73
2010003K11Rik	1	1	0	0	0	1
2010003O02Rik	170	195	101	122	133	120
2010005H15Rik	2	5	3	2	3	2
2010007H06Rik	0	0	0	0	0	0
2010007H12Rik	1742	1990	1188	1772	1966	2038
2010011I20Rik	4133	3969	2668	738	728	850
2010012O05Rik	1094	1110	695	772	698	842
2010012P19Rik	7	5	2	1	1	0
2010013B24Rik	1	0	0	0	0	0
2010015L04Rik	267	243	204	374	401	411
2010015M23Rik	46	43	48	42	35	50
2010016I18Rik	0	0	0	0	0	0
2010106E10Rik	1	4	1	0	0	1
2010106G01Rik	9928	9118	6107	6202	6374	6614
2010107E04Rik	6360	6558	4246	5601	6057	6168
2010107G12Rik	24	33	12	12	10	9
2010107G23Rik	330	284	200	200	207	158
2010107H07Rik	589	661	361	477	465	428
2010109A12Rik	9	8	4	1	0	0
2010109I03Rik	0	0	0	0	0	0
2010109K11Rik	1208	1156	817	949	1036	995
2010110K18Rik	189	131	163	171	161	195
2010110P09Rik	1	2	1	0	1	0
2010111I01Rik	154	147	97	62	51	57
2010204K13Rik	38	60	24	284	320	280
